"Código Liquidação";"Código Empenho";"Código Natureza Despesa Completa";"Subitem";"Valor Liquidado (R$)";"Valor Restos a Pagar Inscritos (R$)";"Valor Restos a Pagar Cancelado (R$)";"Valor Restos a Pagar Pagos (R$)"
"135276222112020NS000007";"135276222112019NE000124";"33903906";"CAPATAZIA, ESTIVA E PESAGEM";"0,00";"0,00";"0,00";"0,00"
"152254264222020NS000023";"152254264222019NE800287";"33903001";"COMBUSTIVEIS E LUBRIFICANTES AUTOMOTIVOS";"0,00";"0,00";"0,00";"0,00"
"152254264222020NS000023";"152254264222019NE800066";"33903925";"TAXA DE ADMINISTRACAO";"0,00";"0,00";"0,00";"0,00"
"153037152222020NS000039";"153037152222017NE001752";"33903635";"SERV. DE APOIO ADMIN., TECNICO E OPERACIONAL";"0,00";"0,00";"576,00";"0,00"
"154055152542020NS000050";"154055152542019NE800013";"33903958";"SERVICOS DE TELECOMUNICACOES";"0,00";"0,00";"0,00";"0,00"
"154055152542020NS000824";"154055152542019NE800030";"33903702";"LIMPEZA E CONSERVACAO";"0,00";"0,00";"0,00";"0,00"
"154857264082020NS000004";"154857264082019NE800043";"33903021";"MATERIAL DE COPA E COZINHA";"0,00";"0,00";"0,00";"0,00"
"155001152752020NS000966";"155001152752020NE504494";"33903996";"OUTROS SERV.DE TERCEIROS PJ- PAGTO ANTECIPADO";"1000,00";"0,00";"0,00";"0,00"
"155001152752020NS000966";"155001152752020NE504487";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"4000,00";"0,00";"0,00";"0,00"
"155001152752020NS000996";"155001152752020NE504482";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"500,00";"0,00";"0,00";"0,00"
"155001152752020NS001014";"155001152752020NE504465";"33903996";"OUTROS SERV.DE TERCEIROS PJ- PAGTO ANTECIPADO";"350,00";"0,00";"0,00";"0,00"
"155001152752020NS001014";"155001152752020NE504464";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"400,00";"0,00";"0,00";"0,00"
"155001152752020NS001015";"155001152752020NE504510";"33903996";"OUTROS SERV.DE TERCEIROS PJ- PAGTO ANTECIPADO";"100,00";"0,00";"0,00";"0,00"
"155001152752020NS001015";"155001152752020NE504505";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"2900,00";"0,00";"0,00";"0,00"
"155001152752020NS001016";"155001152752020NE504485";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"300,00";"0,00";"0,00";"0,00"
"155001152752020NS001017";"155001152752020NE504486";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"500,00";"0,00";"0,00";"0,00"
"155001152752020NS001018";"155001152752020NE504503";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"700,00";"0,00";"0,00";"0,00"
"155001152752020NS001020";"155001152752020NE504511";"33903996";"OUTROS SERV.DE TERCEIROS PJ- PAGTO ANTECIPADO";"400,00";"0,00";"0,00";"0,00"
"155001152752020NS001020";"155001152752020NE504506";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"1400,00";"0,00";"0,00";"0,00"
"155001152752020NS001021";"155001152752020NE504507";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"2700,00";"0,00";"0,00";"0,00"
"155001152752020NS001026";"155001152752020NE504508";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"2500,00";"0,00";"0,00";"0,00"
"155001152752020NS001028";"155001152752020NE504509";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"3500,00";"0,00";"0,00";"0,00"
"155001152752020NS001029";"155001152752020NE504462";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"1800,00";"0,00";"0,00";"0,00"
"155001152752020NS001042";"155001152752020NE504495";"33903996";"OUTROS SERV.DE TERCEIROS PJ- PAGTO ANTECIPADO";"2000,00";"0,00";"0,00";"0,00"
"155001152752020NS001042";"155001152752020NE504488";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"1000,00";"0,00";"0,00";"0,00"
"155001152752020NS001042";"155001152752020NE504501";"33903396";"PASSAGENS E DESP.C/LOCOMOCAO-PAGTO ANTECIPADO";"200,00";"0,00";"0,00";"0,00"
"155001152752020NS001043";"155001152752020NE504496";"33903996";"OUTROS SERV.DE TERCEIROS PJ- PAGTO ANTECIPADO";"1000,00";"0,00";"0,00";"0,00"
"155001152752020NS001043";"155001152752020NE504489";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"1000,00";"0,00";"0,00";"0,00"
"155001152752020NS001083";"155001152752020NE504497";"33903996";"OUTROS SERV.DE TERCEIROS PJ- PAGTO ANTECIPADO";"2000,00";"0,00";"0,00";"0,00"
"155001152752020NS001083";"155001152752020NE504490";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"1000,00";"0,00";"0,00";"0,00"
"155001152752020NS001083";"155001152752020NE504502";"33903396";"PASSAGENS E DESP.C/LOCOMOCAO-PAGTO ANTECIPADO";"200,00";"0,00";"0,00";"0,00"
"155001152752020NS001084";"155001152752020NE504498";"33903996";"OUTROS SERV.DE TERCEIROS PJ- PAGTO ANTECIPADO";"1000,00";"0,00";"0,00";"0,00"
"155001152752020NS001084";"155001152752020NE504491";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"1000,00";"0,00";"0,00";"0,00"
"155001152752020NS001085";"155001152752020NE504499";"33903996";"OUTROS SERV.DE TERCEIROS PJ- PAGTO ANTECIPADO";"200,00";"0,00";"0,00";"0,00"
"155001152752020NS001085";"155001152752020NE504492";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"800,00";"0,00";"0,00";"0,00"
"155001152752020NS001086";"155001152752020NE504493";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"500,00";"0,00";"0,00";"0,00"
"155001152752020NS011128";"155001152752020NE504494";"33903996";"OUTROS SERV.DE TERCEIROS PJ- PAGTO ANTECIPADO";"-18,00";"0,00";"0,00";"0,00"
"155001152752020NS011128";"155001152752020NE504494";"33903918";"SERVICOS DE ESTACIONAMENTO DE VEICULOS";"18,00";"0,00";"0,00";"0,00"
"158128264082020NS000187";"158128264082019NE800456";"44905191";"OBRAS EM ANDAMENTO";"0,00";"0,00";"0,00";"0,00"
"158128264082020NS000187";"158128264082019NE800062";"44905191";"OBRAS EM ANDAMENTO";"0,00";"0,00";"0,00";"0,00"
"158128264082020NS000352";"158128264082019NE800456";"44905191";"OBRAS EM ANDAMENTO";"0,00";"0,00";"0,00";"0,00"
"158128264082020NS000381";"158128264082020NE800040";"44905191";"OBRAS EM ANDAMENTO";"12700,82";"0,00";"0,00";"0,00"
"158150264262020NS000006";"158150264262019NE800015";"33913901";"ASSINATURAS DE PERIODICOS E ANUIDADES";"0,00";"0,00";"4163,04";"0,00"
"158413264112020NS000003";"158413264112019NE800047";"33903703";"VIGILANCIA OSTENSIVA";"0,00";"0,00";"0,00";"0,00"
